id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
266,2024-07-30 07:21:38.224561,6.9,3.1,5.1,2.3,2
265,2024-07-30 07:21:37.219077,6.7,3.3,5.7,2.5,2
264,2024-07-30 07:21:36.212214,5.8,2.7,5.1,1.9,2
263,2024-07-30 07:21:35.206437,5.5,3.5,1.3,0.2,0
262,2024-07-30 07:21:34.202915,5.1,2.5,3.0,1.1,1
261,2024-07-30 07:21:33.197767,5.9,3.2,4.8,1.8,1
260,2024-07-30 07:21:32.190159,7.7,3.8,6.7,2.2,2
259,2024-07-30 07:21:31.182931,5.4,3.0,4.5,1.5,1
258,2024-07-30 07:21:30.175902,5.7,4.4,1.5,0.4,0
257,2024-07-30 07:21:29.171563,5.2,4.1,1.5,0.1,0
256,2024-07-30 07:21:28.165812,7.7,3.8,6.7,2.2,2
255,2024-07-30 07:21:27.151347,6.5,3.0,5.5,1.8,2
254,2024-07-30 07:21:26.142620,5.0,3.2,1.2,0.2,0
253,2024-07-30 07:21:25.135622,6.7,2.5,5.8,1.8,2
252,2024-07-30 07:21:24.124434,6.2,3.4,5.4,2.3,2
251,2024-07-30 07:21:23.119809,6.7,3.1,5.6,2.4,2
250,2024-07-30 07:21:22.112682,6.3,2.7,4.9,1.8,2
249,2024-07-30 07:21:21.101010,6.6,2.9,4.6,1.3,1
248,2024-07-30 07:21:20.095448,5.2,2.7,3.9,1.4,1
247,2024-07-30 07:21:19.091283,5.8,2.6,4.0,1.2,1
246,2024-07-30 07:21:18.080696,7.4,2.8,6.1,1.9,2
245,2024-07-30 07:21:17.072210,5.5,2.4,3.8,1.1,1
244,2024-07-30 07:21:16.064897,6.2,2.2,4.5,1.5,1
243,2024-07-30 07:21:15.060870,5.5,3.5,1.3,0.2,0
242,2024-07-30 07:21:14.055877,5.1,3.8,1.6,0.2,0
241,2024-07-30 07:21:13.051253,6.9,3.1,4.9,1.5,1
240,2024-07-30 07:21:12.036180,6.4,2.9,4.3,1.3,1
239,2024-07-30 07:21:11.030361,5.4,3.0,4.5,1.5,1
238,2024-07-30 07:21:10.016272,4.8,3.0,1.4,0.1,0
237,2024-07-30 07:21:09.010664,4.9,2.5,4.5,1.7,2
236,2024-07-30 07:21:08.005668,6.0,2.2,4.0,1.0,1
235,2024-07-30 07:21:07.000130,5.0,3.2,1.2,0.2,0
234,2024-07-30 07:21:05.993540,6.9,3.1,4.9,1.5,1
